"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-11-05","Broad",0,1,0,6,6,0
"2013-11-07","Broad",0,1,0,4,7,0
"2013-11-06","Exact",0,2,0,4,6,0
"2013-11-08","Exact",0,1,0,1,7,0
"2013-11-06","Phrase",0,1,0,1,6,0
"2013-10-24","Broad",0,3,0,1.7,7,0
"2013-10-17","Broad",0,1,0,4,5,0
"2013-10-16","Broad",5,46,3.62,1.6,7,0
"2013-11-01","Broad",1,24,1.11,1.7,7,0
"2013-11-01","Exact",1,1,0.23,1,9,0
"2013-10-24","Exact",0,2,0,3,6,0
"2013-11-04","Broad",0,1,0,3,6,0
"2013-11-02","Broad",0,2,0,1,4,0
"2013-11-04","Phrase",0,1,0,5,6,0
"2013-11-07","Phrase",1,1,0.2,1,7,0
"2013-11-09","Phrase",0,2,0,1,6,0
"2013-10-17","Phrase",0,10,0,3,6,0
"2013-11-05","Phrase",1,1,0.27,1,7,0
"2013-10-21","Broad",1,3,0.92,4,6,0
"2013-11-12","Phrase",0,1,0,7,6,0
"2013-11-05","Broad",0,2,0,1.5,7,0
"2013-10-21","Exact",7,100,6.22,1.1,4,0
"2013-11-05","Broad",2,9,1.7,3.1,6,0
"2013-10-15","Broad",1,42,0.82,3.3,7,0
"2013-10-24","Broad",0,2,0,3,9,0
"2013-10-19","Broad",0,4,0,3.3,7,0
"2013-11-11","Exact",0,3,0,1,7,0
"2013-10-23","Broad",0,1,0,7,6,0
"2013-11-07","Phrase",0,1,0,2,6,0
"2013-10-29","Phrase",0,3,0,1.3,4,0
"2013-11-02","Phrase",1,1,0.58,1,7,0
"2013-10-15","Broad",0,10,0,4.9,6,0
"2013-10-28","Broad",0,3,0,3.7,9,0
"2013-10-22","Exact",0,1,0,1,6,0
"2013-11-09","Broad",0,1,0,2,6,0
"2013-10-26","Broad",0,1,0,6,6,0
"2013-10-31","Phrase",0,2,0,1.5,6,0
"2013-10-16","Broad",0,1,0,7,8,0
"2013-11-04","Broad",1,11,0.26,3.1,7,0
"2013-10-22","Broad",2,7,0.91,1.4,6,0
"2013-11-10","Phrase",0,1,0,2,6,0
"2013-10-15","Broad",0,2,0,3.5,9,0
"2013-10-24","Phrase",0,1,0,1,7,0
"2013-11-10","Exact",0,1,0,5,6,0
"2013-10-31","Broad",1,4,0.39,2,6,0
"2013-10-18","Phrase",0,5,0,2.2,6,0
"2013-11-10","Broad",1,24,0.83,3.5,7,0
"2013-10-25","Broad",0,7,0,1,6,0
"2013-11-11","Exact",0,1,0,1,8,0
"2013-11-01","Broad",1,6,0.76,2.7,6,0
"2013-10-18","Broad",0,10,0,4,6,0
"2013-10-24","Broad",0,4,0,1,6,0
"2013-11-11","Broad",0,3,0,4.7,9,0
"2013-10-25","Broad",0,7,0,1.3,7,0
"2013-10-14","Exact",1,1,0.24,2,7,0
"2013-11-04","Broad",0,5,0,6.2,6,0
"2013-10-20","Broad",0,3,0,6.3,4,0
"2013-11-01","Phrase",0,1,0,1,5,0
"2013-10-24","Broad",2,41,1.43,1.8,7,0
"2013-10-22","Phrase",1,27,1.31,1.8,5,0
"2013-10-23","Broad",12,469,16.39,1.7,6,0
"2013-10-29","Exact",0,1,0,1,4,0
"2013-11-05","Phrase",0,1,0,2,7,0
"2013-10-25","Broad",0,2,0,3.5,6,0
"2013-10-20","Exact",0,3,0,1.7,6,0
"2013-11-12","Exact",0,1,0,3,7,0
"2013-10-21","Phrase",0,2,0,2,6,0
"2013-11-03","Phrase",0,1,0,1,6,0
"2013-11-02","Broad",0,3,0,1.7,6,0
"2013-10-16","Broad",0,1,0,4,6,0
"2013-11-08","Broad",0,1,0,2,6,0
"2013-10-17","Exact",0,1,0,2,7,0
"2013-10-20","Broad",0,1,0,11,7,0
"2013-10-14","Phrase",0,1,0,1,7,0
"2013-11-01","Phrase",0,1,0,10,4,0
"2013-10-29","Phrase",0,1,0,2,6,0
"2013-10-27","Exact",0,1,0,1,7,0
"2013-11-06","Exact",1,1,0.42,1,7,0
